,Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Sales_sum
0,'98 Koshien,PS,1998,Sports,0.15,0.1,0.12,0.03,0.4
1,.hack//G.U. Vol.1//Rebirth,PS2,2006,Role-Playing,0.0,0.0,0.17,0.0,0.17
2,.hack//G.U. Vol.2//Reminisce,PS2,2006,Role-Playing,0.11,0.09,0.0,0.03,0.23
3,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006,Role-Playing,0.0,0.0,0.16,0.0,0.16
4,.hack//G.U. Vol.3//Redemption,PS2,2007,Role-Playing,0.0,0.0,0.17,0.0,0.17
5,.hack//Infection Part 1,PS2,2002,Role-Playing,0.49,0.38,0.26,0.13,1.2599999999999998
6,.hack//Link,PSP,2010,Role-Playing,0.0,0.0,0.14,0.0,0.14
7,.hack//Mutation Part 2,PS2,2002,Role-Playing,0.23,0.18,0.2,0.06,0.6700000000000002
8,.hack//Outbreak Part 3,PS2,2002,Role-Playing,0.14,0.11,0.17,0.04,0.46
9,.hack//Quarantine Part 4: The Final Chapter,PS2,2003,Role-Playing,0.09,0.07,0.0,0.02,0.18
10,.hack: Sekai no Mukou ni + Versus,PS3,2012,Action,0.0,0.0,0.03,0.0,0.03
11,007 Racing,PS,2000,Racing,0.3,0.2,0.0,0.03,0.53
12,007: Quantum of Solace,DS,2008,Action,0.11,0.01,0.0,0.01,0.13
13,007: Quantum of Solace,PC,2008,Action,0.01,0.01,0.0,0.0,0.02
14,007: Quantum of Solace,PS2,2008,Action,0.17,0.0,0.0,0.26,0.43000000000000005
15,007: Quantum of Solace,PS3,2008,Action,0.43,0.52,0.02,0.2,1.17
16,007: Quantum of Solace,Wii,2008,Action,0.3,0.29,0.01,0.07,0.6699999999999999
17,007: Quantum of Solace,X360,2008,Action,0.82,0.52,0.01,0.14,1.4899999999999998
18,007: The World is not Enough,N64,2000,Action,1.13,0.38,0.02,0.03,1.5599999999999998
19,007: The World is not Enough,PS,2000,Action,0.51,0.35,0.0,0.06,0.9199999999999999
20,007: Tomorrow Never Dies,PS,1999,Shooter,1.72,1.33,0.0,0.16,3.21
21,1 vs. 100,DS,2008,Misc,0.08,0.0,0.0,0.01,0.09
22,1/2 Summer +,PSP,2013,Adventure,0.0,0.0,0.01,0.0,0.01
23,10 Minute Solution,Wii,2010,Sports,0.06,0.01,0.0,0.01,0.07999999999999999
24,100 All-Time Favorites,DS,2009,Puzzle,0.35,0.12,0.0,0.04,0.51
25,100 Classic Books,DS,2008,Misc,0.13,0.52,0.0,0.02,0.67
26,100 Classic Games,DS,2011,Misc,0.0,0.03,0.0,0.0,0.03
27,1000 Cooking Recipes from ELLE à table,DS,2010,Misc,0.0,0.02,0.0,0.0,0.02
28,1001 Touch Games,DS,2011,Action,0.12,0.17,0.0,0.04,0.33
29,101-in-1 Explosive Megamix,DS,2008,Puzzle,0.05,0.13,0.0,0.02,0.19999999999999998
30,101-in-1 Party Megamix Wii,Wii,2009,Misc,0.19,0.01,0.0,0.02,0.22
31,101-in-1 Sports Megamix,DS,2010,Sports,0.08,0.0,0.0,0.01,0.09
32,101-in-1 Sports Party Megamix,Wii,2010,Sports,0.02,0.0,0.0,0.0,0.02
33,1080°: TenEighty Snowboarding,N64,1998,Sports,1.25,0.61,0.13,0.05,2.0399999999999996
34,11eyes: CrossOver,PSP,2010,Adventure,0.0,0.0,0.02,0.0,0.02
35,11eyes: CrossOver,X360,2009,Adventure,0.0,0.0,0.02,0.0,0.02
36,12-Sai. Honto no Kimochi,3DS,2014,Adventure,0.0,0.0,0.07,0.0,0.07
37,12-Sai. Koisuru Diary,3DS,2016,Adventure,0.0,0.0,0.04,0.0,0.04
38,12Riven: The Psi-Climinal of Integral,PS2,2008,Adventure,0.0,0.0,0.04,0.0,0.04
39,15 Days,PC,2009,Adventure,0.0,0.01,0.0,0.0,0.01
40,1701 A.D.,PC,2006,Simulation,0.0,0.25,0.0,0.05,0.3
41,18 Wheeler: American Pro Trucker,GC,2002,Racing,0.09,0.02,0.0,0.0,0.11
42,18 Wheeler: American Pro Trucker,PS2,2001,Racing,0.2,0.15,0.0,0.05,0.39999999999999997
43,18 Wheels of Steel: Extreme Trucker,PC,2009,Racing,0.0,0.02,0.0,0.0,0.02
44,18 Wheels of Steel: Extreme Trucker 2,PC,2011,Racing,0.08,0.02,0.0,0.01,0.11
45,187: Ride or Die,PS2,2005,Racing,0.07,0.06,0.0,0.02,0.15
46,187: Ride or Die,XB,2005,Racing,0.05,0.01,0.0,0.0,0.060000000000000005
47,1942,NES,1985,Shooter,0.65,0.14,0.21,0.0,1.0
48,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005,Racing,0.09,0.03,0.0,0.0,0.12
49,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Action,1.26,0.47,0.0,0.03,1.76
50,2 Games in 1: Disney Princess & The Lion King,GBA,2004,Misc,1.25,0.46,0.0,0.03,1.74
51,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005,Action,0.22,0.08,0.0,0.01,0.31
52,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,1.31,0.49,0.0,0.03,1.83
53,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,Misc,0.44,0.16,0.0,0.01,0.61
54,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005,Misc,0.04,0.02,0.0,0.0,0.06
55,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,Platform,0.33,0.12,0.0,0.01,0.46
56,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013,Misc,0.09,0.01,0.0,0.01,0.10999999999999999
57,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004,Misc,0.4,0.11,0.0,0.02,0.53
58,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,Platform,0.06,0.02,0.0,0.0,0.08
59,2002 FIFA World Cup,GC,2002,Sports,0.04,0.01,0.0,0.0,0.05
60,2002 FIFA World Cup,PS2,2002,Sports,0.21,0.17,0.16,0.06,0.6000000000000001
61,2002 FIFA World Cup,XB,2002,Sports,0.14,0.04,0.0,0.01,0.19000000000000003
62,2010 FIFA World Cup South Africa,PS3,2010,Sports,0.3,0.64,0.07,0.22,1.23
63,2010 FIFA World Cup South Africa,PSP,2010,Sports,0.09,0.24,0.03,0.12,0.48
64,2010 FIFA World Cup South Africa,Wii,2010,Sports,0.23,0.15,0.01,0.04,0.43
65,2010 FIFA World Cup South Africa,X360,2010,Sports,0.32,0.43,0.02,0.09,0.86
66,2014 FIFA World Cup Brazil,PS3,2014,Sports,0.15,0.39,0.01,0.16,0.7100000000000001
67,2014 FIFA World Cup Brazil,X360,2014,Sports,0.14,0.28,0.0,0.04,0.46
68,24: The Game,PS2,2006,Adventure,0.15,0.12,0.0,0.04,0.31
69,25 to Life,PS2,2006,Shooter,0.35,0.01,0.0,0.06,0.42
70,25 to Life,XB,2006,Shooter,0.12,0.04,0.0,0.01,0.17
71,2Xtreme,PS,1996,Sports,1.15,0.2,0.0,0.05,1.4
72,"3 in 1: Solitaire, Mahjong & Tangram",DS,2010,Misc,0.0,0.07,0.0,0.01,0.08
73,300: March to Glory,PSP,2007,Action,0.27,0.08,0.0,0.06,0.41000000000000003
74,3D Dot Game Heroes,PS3,2009,Role-Playing,0.36,0.12,0.03,0.07,0.5800000000000001
75,3D Lemmings,PS,1995,Puzzle,0.03,0.02,0.0,0.0,0.05
76,3D Tank Warfare Simulator Panzer Front,PS,1999,Simulation,0.06,0.04,0.0,0.01,0.11
77,3DS Classic Collection,3DS,2016,Misc,0.02,0.0,0.0,0.0,0.02
78,3Xtreme,PS,1999,Action,0.5,0.34,0.0,0.06,0.9000000000000001
79,3rd Super Robot Wars Z Jigoku Hen,PS3,2014,Role-Playing,0.0,0.0,0.23,0.0,0.23
80,3rd Super Robot Wars Z Jigoku Hen,PSV,2014,Role-Playing,0.0,0.0,0.19,0.0,0.19
81,3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015,Action,0.0,0.0,0.15,0.0,0.15
82,3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,Action,0.0,0.0,0.19,0.0,0.19
83,4 Elements,PC,2009,Puzzle,0.0,0.04,0.0,0.01,0.05
84,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005,Misc,0.11,0.0,0.0,0.01,0.12
85,4 Nin uchi Mahjong,NES,1984,Misc,0.0,0.0,1.45,0.0,1.45
86,40 Winks,PS,1999,Platform,0.17,0.12,0.0,0.02,0.31000000000000005
87,428: Fuusa Sareta Shibuya de,PS3,2009,Adventure,0.0,0.0,0.02,0.0,0.02
88,428: Fuusa Sareta Shibuya de,PSP,2009,Adventure,0.0,0.0,0.04,0.0,0.04
89,428: Fuusa Sareta Shibuya de,Wii,2008,Adventure,0.0,0.0,0.13,0.0,0.13
90,4x4 EVO 2,GC,2002,Racing,0.11,0.03,0.0,0.0,0.14
91,4x4 EVO 2,XB,2001,Racing,0.18,0.05,0.0,0.01,0.24
92,4x4 Evolution,PS2,2001,Racing,0.16,0.12,0.0,0.04,0.32
93,50 Cent: Blood on the Sand,PS3,2009,Shooter,0.1,0.06,0.01,0.03,0.2
94,50 Cent: Blood on the Sand,X360,2009,Shooter,0.12,0.07,0.0,0.02,0.21
95,50 Cent: Bulletproof,PS2,2005,Action,0.85,0.76,0.0,0.16,1.7699999999999998
96,50 Cent: Bulletproof,PSP,2006,Action,0.08,0.0,0.0,0.01,0.09
97,50 Cent: Bulletproof,XB,2005,Action,0.33,0.1,0.0,0.02,0.45000000000000007
98,50 Classic Games,3DS,2012,Misc,0.0,0.02,0.0,0.0,0.02
99,50 Classic Games,DS,2009,Misc,0.52,0.0,0.0,0.04,0.56
100,64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997,Misc,0.0,0.0,0.22,0.0,0.22
101,7 Days to Die,PS4,2016,Action,0.03,0.07,0.0,0.02,0.12000000000000001
102,7 Days to Die,XOne,2016,Action,0.02,0.02,0.0,0.0,0.04
103,7 Roses: A Darkness Rises,PC,2015,Misc,0.0,0.02,0.0,0.0,0.02
104,7 Wonders II,DS,2009,Puzzle,0.14,0.15,0.0,0.03,0.32000000000000006
105,7 Wonders of the Ancient World,DS,2007,Puzzle,0.1,0.01,0.0,0.01,0.12
106,7 Wonders of the Ancient World,PSP,2007,Puzzle,0.07,0.0,0.0,0.01,0.08
107,7 Wonders: Treasures of Seven,DS,2011,Puzzle,0.02,0.03,0.0,0.01,0.060000000000000005
108,7th Dragon,DS,2009,Role-Playing,0.0,0.0,0.14,0.0,0.14
109,7th Dragon 2020,PSP,2011,Role-Playing,0.0,0.0,0.2,0.0,0.2
110,7th Dragon 2020-II,PSP,2013,Role-Playing,0.0,0.0,0.13,0.0,0.13
111,7th Dragon III Code: VFD,3DS,2015,Role-Playing,0.03,0.0,0.12,0.0,0.15
112,99 no Namida,DS,2008,Adventure,0.0,0.0,0.04,0.0,0.04
113,"999: Nine Hours, Nine Persons, Nine Doors",DS,2009,Adventure,0.37,0.0,0.03,0.03,0.43000000000000005
114,A Boy and His Blob,Wii,2009,Platform,0.19,0.02,0.0,0.02,0.22999999999999998
115,A Bug's Life,N64,1998,Platform,0.49,0.13,0.0,0.01,0.63
116,A Bug's Life,PS,1998,Platform,1.96,0.72,0.0,0.11,2.7899999999999996
117,A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,0.76,0.52,0.0,0.09,1.37
118,A Collection of Classic Games from the Intellivision,PS,1999,Misc,0.17,0.12,0.0,0.02,0.31000000000000005
119,A Game of Thrones: Genesis,PC,2011,Strategy,0.0,0.03,0.0,0.01,0.04
120,A Good Librarian Like a Good Shepherd: Library Party,PSV,2015,Action,0.0,0.0,0.03,0.0,0.03
121,A New Beginning,PC,2010,Adventure,0.0,0.05,0.0,0.01,0.060000000000000005
122,A Ressha de Gyoukou 2001,PS2,2001,Simulation,0.0,0.0,0.03,0.0,0.03
123,A Ressha de Ikou DS,DS,2009,Simulation,0.0,0.0,0.04,0.0,0.04
124,A Vampyre Story,PC,2008,Adventure,0.0,0.01,0.0,0.0,0.01
125,A Witch's Tale,DS,2009,Role-Playing,0.08,0.0,0.03,0.01,0.12
126,A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995,Simulation,0.0,0.0,0.06,0.0,0.06
127,A-Train,PS,1995,Simulation,0.02,0.01,0.04,0.01,0.08
128,A-Train 6,PS2,2000,Strategy,0.0,0.0,0.06,0.0,0.06
129,A-Train: City Simulator,3DS,2014,Simulation,0.0,0.0,0.06,0.0,0.06
130,A. IV Evolution: A Ressha de Ikou 4,PS,1994,Strategy,0.0,0.0,0.24,0.02,0.26
131,A.C.E.: Another Century's Episode,PS2,2005,Simulation,0.0,0.0,0.26,0.0,0.26
132,A.C.E.: Another Century's Episode 2,PS2,2006,Simulation,0.0,0.0,0.18,0.0,0.18
133,A.C.E.: Another Century's Episode 3: The Final,PS2,2007,Simulation,0.0,0.0,0.26,0.0,0.26
134,A.C.E.: Another Century's Episode Portable,PSP,2011,Simulation,0.0,0.0,0.12,0.0,0.12
135,A.C.E.: Another Century's Episode R,PS3,2010,Simulation,0.0,0.0,0.26,0.0,0.26
136,ABBA: You Can Dance,Wii,2011,Misc,0.19,0.5,0.0,0.11,0.7999999999999999
137,AC/DC LIVE: Rock Band Track Pack,PS2,2008,Misc,0.08,0.06,0.0,0.02,0.16
138,AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,0.21,0.01,0.0,0.02,0.24
139,AC/DC LIVE: Rock Band Track Pack,Wii,2008,Misc,0.25,0.0,0.0,0.02,0.27
140,AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,0.21,0.0,0.0,0.02,0.22999999999999998
141,AIR,PSP,2007,Adventure,0.0,0.0,0.02,0.0,0.02
142,AKB1/149: Love Election,PS3,2013,Adventure,0.0,0.0,0.08,0.0,0.08
143,AKB1/149: Love Election,PSP,2012,Adventure,0.0,0.0,0.23,0.0,0.23
144,AKB1/149: Love Election,PSV,2012,Adventure,0.0,0.0,0.07,0.0,0.07
145,AKB1/48: Idol to Guam de Koishitara...,PSP,2011,Misc,0.0,0.0,0.4,0.0,0.4
146,AKB1/48: Idol to Koishitara...,PSP,2010,Misc,0.0,0.0,0.41,0.0,0.41
147,AKB48+Me,3DS,2012,Action,0.0,0.0,0.11,0.0,0.11
148,AMF Bowling 2004,XB,2003,Sports,0.22,0.06,0.0,0.01,0.29000000000000004
149,AMF Bowling Pinbusters!,DS,2008,Sports,0.06,0.0,0.0,0.0,0.06
150,AMF Bowling Pinbusters!,Wii,2007,Sports,0.85,0.0,0.0,0.07,0.9199999999999999
151,AMF Bowling World Lanes,Wii,2008,Sports,0.33,0.0,0.0,0.03,0.36
152,AMF Xtreme Bowling,PS2,2006,Sports,0.01,0.01,0.0,0.0,0.02
153,AMNESIA World,PSV,2014,Adventure,0.0,0.0,0.03,0.0,0.03
154,APB Reloaded,PC,2011,Role-Playing,0.02,0.01,0.0,0.0,0.03
155,ASH: Archaic Sealed Heat,DS,2007,Role-Playing,0.0,0.0,0.12,0.0,0.12
156,ATV Offroad Fury,PS2,2001,Racing,2.07,0.26,0.0,0.08,2.41
157,ATV Offroad Fury 2,PS2,2002,Racing,1.92,0.2,0.0,0.06,2.18
158,ATV Offroad Fury 3,PS2,2004,Racing,1.0,0.04,0.0,0.16,1.2
159,ATV Offroad Fury Pro,PSP,2006,Racing,0.37,0.04,0.0,0.05,0.45999999999999996
160,ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,0.53,0.0,0.0,0.04,0.5700000000000001
161,ATV Quad Kings,DS,2010,Racing,0.1,0.0,0.0,0.01,0.11
162,ATV Quad Kings,Wii,2009,Racing,0.21,0.0,0.0,0.01,0.22
163,ATV Quad Power Racing 2,GC,2003,Racing,0.22,0.06,0.0,0.01,0.29000000000000004
164,ATV Quad Power Racing 2,PS2,2003,Racing,0.41,0.32,0.0,0.11,0.84
165,ATV Quad Power Racing 2,XB,2003,Racing,0.36,0.07,0.0,0.01,0.44
166,ATV/Monster Truck Mayhem,DS,2007,Racing,0.33,0.0,0.0,0.02,0.35000000000000003
167,ATV: Quad Frenzy,DS,2005,Racing,0.1,0.0,0.0,0.01,0.11
168,ATV: Quad Power Racing,GBA,2002,Racing,0.18,0.07,0.0,0.0,0.25
169,ATV: Quad Power Racing,PS,2000,Racing,0.58,0.39,0.0,0.07,1.04
170,Aa Megami-samaa,PS2,2007,Adventure,0.0,0.0,0.01,0.0,0.01
171,Abunai: Koi no Sousa Shitsu,PSP,2012,Action,0.0,0.0,0.01,0.0,0.01
172,Abunai: Koi no Sousa Shitsu,PSV,2015,Action,0.0,0.0,0.02,0.0,0.02
173,Academy of Champions: Soccer,Wii,2009,Sports,0.1,0.02,0.0,0.01,0.13
174,Accel World: Ginyoku no Kakusei,PS3,2012,Adventure,0.0,0.0,0.03,0.0,0.03
175,Accel World: Ginyoku no Kakusei,PSP,2012,Adventure,0.0,0.0,0.03,0.0,0.03
176,Accel World: Kasoku no Chouten,PS3,2013,Adventure,0.0,0.0,0.02,0.0,0.02
177,Accel World: Kasoku no Chouten,PSP,2013,Adventure,0.0,0.0,0.01,0.0,0.01
178,Ace Attorney 6,3DS,2016,Adventure,0.0,0.0,0.27,0.0,0.27
179,Ace Attorney Investigations 2,DS,2011,Adventure,0.0,0.0,0.26,0.0,0.26
180,Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,0.27,0.15,0.3,0.04,0.76
181,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,2.06,0.56,0.38,0.17,3.17
182,Ace Combat 2,PS,1997,Simulation,0.16,0.11,0.56,0.06,0.8900000000000001
183,Ace Combat 3: Electrosphere,PS,1999,Simulation,0.22,0.15,0.4,0.05,0.8200000000000001
184,Ace Combat 5: The Unsung War,PS2,2004,Simulation,0.88,0.34,0.32,0.18,1.72
185,Ace Combat 6: Fires of Liberation,X360,2007,Simulation,0.69,0.04,0.22,0.06,1.01
186,Ace Combat X: Skies of Deception,PSP,2006,Simulation,0.37,0.31,0.12,0.19,0.99
187,Ace Combat Zero: The Belkan War,PS2,2006,Simulation,0.15,0.12,0.2,0.04,0.51
188,Ace Combat: Assault Horizon,PS3,2011,Action,0.3,0.16,0.22,0.07,0.75
189,Ace Combat: Assault Horizon,X360,2011,Action,0.3,0.12,0.03,0.04,0.48999999999999994
190,Ace Combat: Joint Assault,PSP,2010,Simulation,0.06,0.05,0.15,0.03,0.29000000000000004
191,Achtung Panzer: Kharkov 1943,PC,2010,Strategy,0.0,0.01,0.0,0.0,0.01
192,Act of Aggression,PC,2015,Strategy,0.0,0.01,0.0,0.0,0.01
193,Action Bass,PS,2000,Action,0.64,0.43,0.0,0.07,1.1400000000000001
194,Action Force,2600,1982,Action,0.5,0.03,0.0,0.01,0.54
195,Active Health with Carol Vorderman,DS,2009,Sports,0.0,0.18,0.0,0.01,0.19
196,Active Life Explorer,Wii,2010,Sports,0.14,0.0,0.0,0.01,0.15000000000000002
197,Active Life: Extreme Challenge,Wii,2009,Sports,0.15,0.27,0.0,0.06,0.48000000000000004
198,Active Life: Magical Carnival,Wii,2011,Misc,0.04,0.01,0.0,0.0,0.05
199,Active Life: Outdoor Challenge,Wii,2008,Sports,0.79,0.44,0.19,0.14,1.56
200,Activision Anthology,GBA,2003,Misc,0.03,0.01,0.0,0.0,0.04
201,Activision Anthology,PS2,2002,Misc,0.25,0.19,0.0,0.06,0.5
202,Activision Hits: Remixed,PSP,2006,Misc,0.05,0.0,0.0,0.0,0.05
203,Actua Tennis,PS,1997,Sports,0.07,0.05,0.0,0.01,0.13
