,Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales
0,'98 Koshien,PS,1998,Sports,0.15,0.1,0.12,0.03
1,.hack//G.U. Vol.1//Rebirth,PS2,2006,Role-Playing,0.0,0.0,0.17,0.0
2,.hack//G.U. Vol.2//Reminisce,PS2,2006,Role-Playing,0.11,0.09,0.0,0.03
3,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006,Role-Playing,0.0,0.0,0.16,0.0
4,.hack//G.U. Vol.3//Redemption,PS2,2007,Role-Playing,0.0,0.0,0.17,0.0
5,.hack//Infection Part 1,PS2,2002,Role-Playing,0.49,0.38,0.26,0.13
6,.hack//Link,PSP,2010,Role-Playing,0.0,0.0,0.14,0.0
7,.hack//Mutation Part 2,PS2,2002,Role-Playing,0.23,0.18,0.2,0.06
8,.hack//Outbreak Part 3,PS2,2002,Role-Playing,0.14,0.11,0.17,0.04
9,.hack//Quarantine Part 4: The Final Chapter,PS2,2003,Role-Playing,0.09,0.07,0.0,0.02
10,.hack: Sekai no Mukou ni + Versus,PS3,2012,Action,0.0,0.0,0.03,0.0
11,007 Racing,PS,2000,Racing,0.3,0.2,0.0,0.03
12,007: Quantum of Solace,DS,2008,Action,0.11,0.01,0.0,0.01
13,007: Quantum of Solace,PC,2008,Action,0.01,0.01,0.0,0.0
14,007: Quantum of Solace,PS2,2008,Action,0.17,0.0,0.0,0.26
15,007: Quantum of Solace,PS3,2008,Action,0.43,0.52,0.02,0.2
16,007: Quantum of Solace,Wii,2008,Action,0.3,0.29,0.01,0.07
17,007: Quantum of Solace,X360,2008,Action,0.82,0.52,0.01,0.14
18,007: The World is not Enough,N64,2000,Action,1.13,0.38,0.02,0.03
19,007: The World is not Enough,PS,2000,Action,0.51,0.35,0.0,0.06
20,007: Tomorrow Never Dies,PS,1999,Shooter,1.72,1.33,0.0,0.16
21,1 vs. 100,DS,2008,Misc,0.08,0.0,0.0,0.01
22,1/2 Summer +,PSP,2013,Adventure,0.0,0.0,0.01,0.0
23,10 Minute Solution,Wii,2010,Sports,0.06,0.01,0.0,0.01
24,100 All-Time Favorites,DS,2009,Puzzle,0.35,0.12,0.0,0.04
25,100 Classic Books,DS,2008,Misc,0.13,0.52,0.0,0.02
26,100 Classic Games,DS,2011,Misc,0.0,0.03,0.0,0.0
27,1000 Cooking Recipes from ELLE à table,DS,2010,Misc,0.0,0.02,0.0,0.0
28,1001 Touch Games,DS,2011,Action,0.12,0.17,0.0,0.04
29,101-in-1 Explosive Megamix,DS,2008,Puzzle,0.05,0.13,0.0,0.02
30,101-in-1 Party Megamix Wii,Wii,2009,Misc,0.19,0.01,0.0,0.02
31,101-in-1 Sports Megamix,DS,2010,Sports,0.08,0.0,0.0,0.01
32,101-in-1 Sports Party Megamix,Wii,2010,Sports,0.02,0.0,0.0,0.0
33,1080°: TenEighty Snowboarding,N64,1998,Sports,1.25,0.61,0.13,0.05
34,11eyes: CrossOver,PSP,2010,Adventure,0.0,0.0,0.02,0.0
35,11eyes: CrossOver,X360,2009,Adventure,0.0,0.0,0.02,0.0
36,12-Sai. Honto no Kimochi,3DS,2014,Adventure,0.0,0.0,0.07,0.0
